n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
5279,1198565262,362350559,334456315,111524155,390234230,1,1
5280,1199019337,362487837,334583028,111566401,390382068,1,1
5281,1199473507,362625143,334709768,111608655,390529938,1,1
5282,1199927760,362762475,334836531,111650917,390677835,1,1
5283,1200382102,362899833,334963319,111693187,390825761,1,1
5284,1200836533,363037217,335090132,111735465,390973716,1,1
5285,1201291035,363174625,335216964,111777751,391121693,1,1
5286,1201745653,363312065,335343830,111820045,391269711,1,1
5287,1202200339,363449527,335470714,111862347,391417749,1,1
5288,1202655114,363587015,335597623,111904657,391565816,1,1
5289,1203109966,363724528,335724553,111946975,391713907,1,1
5290,1203564907,363862067,335851508,111989301,391862028,1,1
5291,1204019943,363999635,335978490,112031635,392010181,1,1
5292,1204475053,364137225,336105492,112073977,392158356,1,1
5293,1204930246,364274841,336232517,112116327,392306558,1,1
5294,1205385543,364412487,336359572,112158685,392454796,1,1
5295,1205840926,364550159,336486651,112201051,392603062,1,1
5296,1206296374,364687853,336613747,112243425,392751347,1,1
5297,1206751929,364825577,336740874,112285807,392899669,1,1
5298,1207207555,364963323,336868020,112328197,393048012,1,1
5299,1207663255,365101093,336995186,112370595,393196378,1,1
5300,1208119071,365238896,337122386,112413001,393344785,1,1
5301,1208574937,365376717,337249598,112455415,393493205,1,1
5302,1209030946,365514576,337376853,112497837,393641677,1,1
5303,1209487002,365652453,337504119,112540267,393790161,1,1
5304,1209943147,365790356,337631410,112582705,393938673,1,1
5305,1210399384,365928287,337758727,112625151,394087217,1,1
5306,1210855707,366066243,337886068,112667605,394235788,1,1
5307,1211312107,366204224,338013430,112710067,394384383,1,1
5308,1211768602,366342233,338140819,112752537,394533011,1,1
5309,1212225189,366480269,338268234,112795015,394681669,1,1
5310,1212681850,366618328,338395669,112837501,394830349,1,1
5311,1213138585,366756411,338523124,112879995,394979053,1,1
5312,1213595433,366894525,338650612,112922497,395127796,1,1
5313,1214052346,367032661,338778117,112965007,395276558,1,1
5314,1214509366,367170828,338905653,113007525,395425357,1,1
5315,1214966457,367309017,339033208,113050051,395574178,1,1
5316,1215423637,367447233,339160788,113092585,395723028,1,1
5317,1215880903,367585475,339288392,113135127,395871906,1,1
5318,1216338249,367723742,339416018,113177677,396020809,1,1
5319,1216795693,367862037,339543672,113220235,396169746,1,1
5320,1217253223,368000359,339671350,113262801,396318711,1,1
5321,1217710827,368138703,339799048,113305375,396467698,1,1
5322,1218168526,368277076,339926773,113347957,396616717,1,1
5323,1218626311,368415475,340054522,113390547,396765765,1,1
5324,1219084182,368553899,340182295,113433145,396914840,1,1
5325,1219542127,368692347,340310088,113475751,397063938,1,1
5326,1220000173,368830825,340437910,113518365,397213071,1,1
5327,1220458302,368969327,340565755,113560987,397362230,1,1
5328,1220916508,369107854,340693621,113603617,397511413,1,1
5329,1221374803,369246407,340821512,113646255,397660626,1,1
5330,1221833196,369384989,340949431,113688901,397809872,1,1
5331,1222291654,369523593,341077367,113731555,397959137,1,1
5332,1222750207,369662224,341205330,113774217,398108433,1,1
5333,1223208855,369800883,341333320,113816887,398257762,1,1
5334,1223667586,369939568,341461333,113859565,398407117,1,1
5335,1224126388,370078275,341589365,113902251,398556494,1,1
5336,1224585303,370217015,341717430,113944945,398705911,1,1
5337,1225044286,370355776,341845513,113987647,398855347,1,1
5338,1225503361,370494565,341973622,114030357,399004815,1,1
5339,1225962510,370633377,342101751,114073075,399154305,1,1
5340,1226421769,370772220,342229912,114115801,399303833,1,1
5341,1226881084,370911083,342358087,114158535,399453377,1,1
5342,1227340509,371049977,342486294,114201277,399602959,1,1
5343,1227799993,371188891,342614516,114244027,399752557,1,1
5344,1228259599,371327839,342742774,114286785,399902199,1,1
5345,1228719267,371466807,342871048,114329551,400051858,1,1
5346,1229179027,371605803,342999348,114372325,400201548,1,1
5347,1229638855,371744821,343127666,114415107,400351258,1,1
5348,1230098811,371883875,343256022,114457897,400501015,1,1
5349,1230558814,372022945,343384389,114500695,400650782,1,1
5350,1231018930,372162048,343512789,114543501,400800589,1,1
5351,1231479099,372301169,343641202,114586315,400950410,1,1
5352,1231939399,372440327,343769654,114629137,401100279,1,1
5353,1232399758,372579504,343898121,114671967,401250163,1,1
5354,1232860212,372718709,344026615,114714805,401400080,1,1
5355,1233320734,372857937,344155127,114757651,401550017,1,1
5356,1233781351,372997192,344283666,114800505,401699985,1,1
5357,1234242063,373136475,344412232,114843367,401849986,1,1
5358,1234702861,373275785,344540822,114886237,402000015,1,1
5359,1235163730,373415117,344669431,114929115,402150065,1,1
5360,1235624679,373554473,344798062,114972001,402300140,1,1
5361,1236085735,373693861,344926724,115014895,402450253,1,1
5362,1236546883,373833275,345055412,115057797,402600396,1,1
