Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
274,602169,212433,86071,40295,16118,48355,69951,24177,64473,40296
275,610193,215180,87157,40870,16348,49045,70807,24522,65393,40871
276,609665,215070,87137,40800,16320,48961,70815,24480,65281,40801
277,607521,214361,86865,40635,16254,48763,70609,24381,65017,40636
278,611113,215541,87315,40915,16366,49099,70947,24549,65465,40916
279,616693,217495,88102,41295,16518,49555,71582,24777,66073,41296
280,621961,219458,88931,41600,16640,49921,72289,24960,66561,41601
281,620677,218948,88706,41540,16616,49849,72088,24924,66465,41541
282,625209,220697,89463,41775,16710,50131,72751,25065,66841,41776
283,626425,221052,89583,41890,16756,50269,72825,25134,67025,41891
284,632833,223310,90497,42320,16928,50785,73567,25392,67713,42321
285,642849,226855,91937,42985,17194,51583,74741,25791,68777,42986
286,643657,226962,91923,43120,17248,51745,74673,25872,68993,43121
287,642897,226890,91957,42980,17192,51577,74763,25788,68769,42981
288,650745,229637,93063,43515,17406,52219,75655,26109,69625,43516
289,649701,229258,92906,43450,17380,52141,75524,26070,69521,43451
290,649545,229301,92955,43395,17358,52075,75595,26037,69433,43396
291,653149,230542,93448,43650,17460,52381,75986,26190,69841,43651
292,655273,231252,93723,43810,17524,52573,76197,26286,70097,43811
293,664037,234336,94970,44400,17760,53281,77208,26640,71041,44401
294,659457,232706,94305,44100,17640,52921,76663,26460,70561,44101
295,669721,236276,95735,44810,17924,53773,77809,26886,71697,44811
296,670385,236619,95909,44805,17922,53767,77985,26883,71689,44806
297,677093,238917,96818,45285,18114,54343,78702,27171,72457,45286
298,685117,241741,97960,45825,18330,54991,79628,27495,73321,45826
299,687801,242676,98335,46010,18404,55213,79929,27606,73617,46011
300,687085,242329,98164,46005,18402,55207,79760,27603,73609,46006
301,699485,246802,100008,46790,18716,56149,81290,28074,74865,46791
302,688441,243095,98567,45965,18386,55159,80179,27579,73545,45966
303,687269,242575,98322,45935,18374,55123,79946,27561,73497,45936
304,697785,246238,99791,46660,18664,55993,81125,27996,74657,46661
305,696345,245892,99703,46490,18596,55789,81105,27894,74385,46491
306,714521,252164,102199,47770,19108,57325,83089,28662,76433,47771
307,715673,252509,102319,47875,19150,57451,83167,28725,76601,47876
308,718141,253402,102688,48030,19212,57637,83474,28818,76849,48031
309,719141,253825,102882,48065,19226,57679,83654,28839,76905,48066
310,726053,256247,103858,48535,19414,58243,84442,29121,77657,48536
311,723345,255267,103453,48365,19346,58039,84105,29019,77385,48366
312,725793,256106,103785,48540,19416,58249,84367,29124,77665,48541
313,735685,259633,105226,49185,19674,59023,85550,29511,78697,49186
314,746405,263398,106746,49910,19964,59893,86780,29946,79857,49911
315,740721,261502,106013,49480,19792,59377,86219,29688,79169,49481
316,736737,260236,105545,49150,19660,58981,85883,29490,78641,49151
317,740497,261522,106053,49420,19768,59305,86283,29652,79073,49421
318,749633,264572,107233,50110,20044,60133,87187,30066,80177,50111
319,748953,264452,107223,50010,20004,60013,87217,30006,80017,50011
320,762545,269191,109125,50945,20378,61135,88745,30567,81513,50946
321,762609,269168,109101,50970,20388,61165,88711,30582,81553,50971
322,759229,268127,108728,50675,20270,60811,88456,30405,81081,50676
323,769233,271567,110093,51385,20554,61663,89537,30831,82217,51386
324,767981,271183,109956,51275,20510,61531,89444,30765,82041,51276
325,783725,276602,112108,52390,20956,62869,91150,31434,83825,52391
326,778673,274857,111413,52035,20814,62443,90597,31221,83257,52036
327,781337,275859,111839,52185,20874,62623,90963,31311,83497,52186
328,789169,278543,112901,52745,21098,63295,91801,31647,84393,52746
329,791793,279558,113341,52880,21152,63457,92187,31728,84609,52881
330,785677,277490,112532,52430,20972,62917,91558,31458,83889,52431
331,795797,280911,113870,53175,21270,63811,92598,31905,85081,53176
332,798457,281944,114319,53310,21324,63973,92993,31986,85297,53311
333,799233,282211,114425,53365,21346,64039,93077,32019,85385,53366
334,802713,283423,114911,53605,21442,64327,93467,32163,85769,53606
335,804097,283939,115129,53685,21474,64423,93653,32211,85897,53686
